municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;natureza_delito;tentado_consumado;qtde_vitimas
310020;ABAETE;2023-01-01 00:00:00;1;2023;7º Departamento - Divinópolis;3) Interior de MG;DANO;CONSUMADO;1
310020;ABAETE;2023-01-01 00:00:00;1;2023;7º Departamento - Divinópolis;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310040;ACAIACA;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310070;AGUA COMPRIDA;2023-01-01 00:00:00;1;2023;5º Departamento - Uberaba;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310110;AIMORES;2023-01-01 00:00:00;1;2023;8º Departamento - Governador Valadares;3) Interior de MG;AMEACA;CONSUMADO;1
310110;AIMORES;2023-01-01 00:00:00;1;2023;8º Departamento - Governador Valadares;3) Interior de MG;DANO;CONSUMADO;1
310150;ALEM PARAIBA;2023-01-01 00:00:00;1;2023;4º Departamento - Juiz de Fora;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310160;ALFENAS;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;ATEND. DENUNCIA DE INFRACOES CONTRA CRIANCAS E ADO;CONSUMADO;1
310160;ALFENAS;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;2
310160;ALFENAS;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;OUTROS INFRACOES C/ A PESSOA;CONSUMADO;1
310170;ALMENARA;2023-01-01 00:00:00;1;2023;15º Departamento - Teófilo Otoni;3) Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;CONSUMADO;1
310190;ALPINOPOLIS;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;AMEACA;CONSUMADO;1
310200;ALTEROSA;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310250;AMPARO DA SERRA;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;AMEACA;CONSUMADO;1
310290;ANTONIO CARLOS;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;AMEACA;CONSUMADO;1
310290;ANTONIO CARLOS;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310330;ARACITABA;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310330;ARACITABA;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310350;ARAGUARI;2023-01-01 00:00:00;1;2023;9º Departamento - Uberlândia;3) Interior de MG;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310350;ARAGUARI;2023-01-01 00:00:00;1;2023;9º Departamento - Uberlândia;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310390;ARAUJOS;2023-01-01 00:00:00;1;2023;7º Departamento - Divinópolis;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310390;ARAUJOS;2023-01-01 00:00:00;1;2023;7º Departamento - Divinópolis;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310400;ARAXA;2023-01-01 00:00:00;1;2023;5º Departamento - Uberaba;3) Interior de MG;AMEACA;CONSUMADO;2
310400;ARAXA;2023-01-01 00:00:00;1;2023;5º Departamento - Uberaba;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310410;ARCEBURGO;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310420;ARCOS;2023-01-01 00:00:00;1;2023;7º Departamento - Divinópolis;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
310430;AREADO;2023-01-01 00:00:00;1;2023;18º Departamento - Poços de Caldas;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310450;ARINOS;2023-01-01 00:00:00;1;2023;16º Departamento - Unaí;3) Interior de MG;LESAO CORPORAL;CONSUMADO;1
310470;ATALEIA;2023-01-01 00:00:00;1;2023;15º Departamento - Teófilo Otoni;3) Interior de MG;AMEACA;CONSUMADO;1
310540;BARAO DE COCAIS;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;AMEACA;CONSUMADO;1
310560;BARBACENA;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;AMEACA;CONSUMADO;3
310560;BARBACENA;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;2
310590;BARROSO;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;CONSUMADO;1
310590;BARROSO;2023-01-01 00:00:00;1;2023;13º Departamento - Barbacena;3) Interior de MG;LESAO CORPORAL;CONSUMADO;2
310600;BELA VISTA DE MINAS;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;ABANDONO DE INCAPAZ;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;AMEACA;CONSUMADO;13
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;ATEND. DENUNCIA INFRACOES CONTRA MULHER(VIOLENCIA ;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;DANO;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;DESCUMPRIMENTO DE MEDIDA PROTETIVA DE URGENCIA;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;FURTO;CONSUMADO;2
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;HOMICIDIO;TENTADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;INJURIA;CONSUMADO;2
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;LESAO CORPORAL;CONSUMADO;16
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;MAUS TRATOS;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;OUTRAS ACOES DEFESA SOCIAL;CONSUMADO;2
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;OUTROS INFRACOES C/ A PESSOA;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;TRAFICO ILICITO DE DROGAS;CONSUMADO;1
310620;BELO HORIZONTE;2023-01-01 00:00:00;1;2023;1º Departamento - Belo Horizonte;1) Belo Horizonte;VIAS DE FATO / AGRESSAO;CONSUMADO;21
310630;BELO ORIENTE;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;AMEACA;CONSUMADO;1
310630;BELO ORIENTE;2023-01-01 00:00:00;1;2023;12º Departamento - Ipatinga;3) Interior de MG;VIAS DE FATO / AGRESSAO;CONSUMADO;1
